cluster_pred,review_id,text_en_only_rm_stopping,category,catid
5,199834,values awesome awesome speed ship,Shipping,3
5,120352,awesome awesome speed ship value,Shipping,3
5,208062,awesome awesome speed ship value,Shipping,3
5,128278,awesome speed ship awesome speed ship awesome value,Shipping,3
5,187773,awesome awesome speed ship value,Shipping,3
5,180954,awesome awesome speed ship value,Shipping,3
5,84074,values awesome awesome speed ship,Shipping,3
5,75831,awesome awesome speed ship value,Shipping,3
5,178396,awesome awesome speed ship value,Shipping,3
6,33418,turns dark pink light pink qrain image little bit disappointed accordance drawings yes delivery long response fitting new deadline updated automatically canceled status sent,Service-Seller,2
6,41430,type brand information request sent asus sony hopefully durable lah slightly disappointed orders,Service-Seller,2
6,1940,sweet sweet menyalahlan ikalnnya seller live samples goods dibagus mending jujur wrote wares ato selling rada mahalan little obvious quality,Service-Seller,2
6,105176,quality doubt overall okay ada original warranty juga beda original logo sya bought store,Service-Seller,2
6,150404,thank received goods packing neatly order suitable lga wide kaki mainboardnya technician said lga suitable lazy want retur saya copotin heatsink fan attach mouth lama selesai,Service-Seller,2
6,151783,response bit slow seller ask advice size response hours good products love order zalea small size advises admin late customer know shoe sandal size insole outsole different,Service-Seller,2
6,149922,delivery long bertele days received new item product sealed plastic tpi battery charger head open severity lgi trackpad rocking message case sent blue color purple seller sells competent honest conscientious,Service-Seller,2
6,148377,tulle fabric ripped chest carefully scrutinized purchase product fortunately seller willing refund,Service-Seller,2
6,137751,old version nice patient reply,Service-Seller,2
6,57869,siih goods good replace battery dead udh ttep way long delivery,Service-Seller,2
6,26125,sorry fox new comment disappointed turns time hujan tembus coat,Service-Seller,2
6,15928,bangus unfortunately brought lobby weapons brought lobby great consumers buy weapon,Service-Seller,2
6,164354,fate tear spreiny selling lagi pertama time order directly disappointed changed diretur thank time check sebellum packaged goods,Service-Seller,2
6,155474,good stuff hard maps application adherents map map china indonesia help hrs gimana love klo sdh applications love,Service-Seller,2
6,4675,dress price rbu ktanya premium size fit minta instead sent service unsatisfactory chat reply recommended,Service-Seller,2
7,66344,product good condition delivered time packaging damaged box opened,Packaging,5
7,154750,goods pict sales faster shipping merchandise future packaging,Packaging,5
7,118474,packaging tidy good book content fast shipping,Packaging,5
7,49016,bad spill times secured packaging lgi,Packaging,5
7,151204,satisfied goods sngt bad bad packaging,Packaging,5
7,165344,fast delivery received good condition little spill plastic packaging dudukdirumah cegahcovid,Packaging,5
7,160140,good quality arrived quickly good packaging blade bit rusty protect use,Packaging,5
7,12949,packaging delivery good makes case goods damage regular,Packaging,5
7,41656,old packaging fast delivery outside pulau,Packaging,5
7,92937,quickly best parts goods good best packaging,Packaging,5
7,153272,packaging products long time contained lot given bonus thanks,Packaging,5
7,78358,trusted seller packaging strong secure delivery includes fast,Packaging,5
7,142845,neat packaging things good like dhc,Packaging,5
7,7476,poor packaging packets ripped,Packaging,5
7,183774,packaging super good condition complete box like,Packaging,5
8,85231,price original product quality excellent products suitable resellers pgirimanx cpt,Mixed,6
8,114840,product quality excellent original product buy umpteenth time,Mixed,6
8,136400,cakeeeep order product quality excellent original product,Mixed,6
8,129917,product quality excellent product original kapok going order order,Mixed,6
8,115749,product quality excellent product quality excellent good seller response little long delivery,Mixed,6
8,123854,excellent product quality original product price good product delivery speed good response good seller excellent product quality original product good product prices thank kasihhh mantappp thanks,Mixed,6
8,204427,product quality excellent product price good light goods bnget,Mixed,6
8,107219,excellent product quality excellent product price good delivery speed response good seller mksh gan,Mixed,6
8,64922,excellent product quality excellent product price good seller response response good seller later message yes bang,Mixed,6
8,128066,excellent product quality original product price cheap fast delivery good seller response,Mixed,6
8,107387,excellent product quality excellent product price good delivery speed response good seller thanks like bonus,Mixed,6
8,199594,product price good excellent product quality original product delivery speed good hopefully match influenced skin,Mixed,6
8,181115,excellent product quality excellent product price good delivery speed response good seller thanks dibonusin eyelash sukakkkk,Mixed,6
8,101821,excellent product quality excellent product price good delivery speed baik orderan response seller umpteenth kalinya tetap satisfied,Mixed,6
8,92758,product quality excellent delivery speed good products come accordance drawings,Mixed,6
9,25611,pretty lah goods prices delivery segitu proses baguss,Product-Quality,1
9,49283,pretty slick lah,Product-Quality,1
9,82635,nice paruy pretty lah,Product-Quality,1
9,116679,pretty lah dapet dolls price bagus,Product-Quality,1
9,164284,pretty lah dngn price mah,Product-Quality,1
9,132932,passable shirts price children sehari okay,Product-Quality,1
9,73868,pretty lah match price home aja okay,Product-Quality,1
9,17869,yes pretty lah accordance reply message,Product-Quality,1
9,160840,sip lah create maen maen boy,Product-Quality,1
9,175098,baguuuussssss dapet flashsale price pretty lah originall product thanks seller,Product-Quality,1
9,110408,pretty lah according hrg,Product-Quality,1
9,205470,standard delivery according price clock pretty lah great,Product-Quality,1
9,40091,aja ahbb lah aja,Product-Quality,1
9,124835,okay price overalls brilliant thks,Product-Quality,1
9,156299,fabric tpi pretty lah hote sgini,Product-Quality,1
10,194997,secure delivery atc love bubble wrap bubble wrap pengemasanya bit longer days increase ministry far good orders sukaa,Mixed,6
10,164036,turned cut packaging toko offline supermarket wearing plastic box gpp ttp goods continued success,Mixed,6
10,40948,small bubbles state overall steady,Mixed,6
10,46722,pakcing tidy complete completeness box warranty book color real nice pict,Mixed,6
10,145567,nice neat packing fast goods arriving defective goods lot staining basket thermos storage box damp smell torn udh goods note rechecked goods delivered thank,Mixed,6
10,106128,received order cuma probably slightly dented process thanks courier seller,Mixed,6
10,197309,baguuus barangnya meski use bubble wrap peyok makasiii delivery bit longer lgi warehouse relocation,Mixed,6
10,170512,nice fragrance products good lid opened spilled happens dibubble rap lid like,Mixed,6
10,161508,nice original item given bonus biscuits djdidn unc ejdg duxbid jdns jdndjje dienjdidnd,Mixed,6
10,119172,cracks packaging sscara overall okay mudah fit,Mixed,6
10,133732,good use safe delivery gak kayak shop door cook wear bubble,Mixed,6
10,157639,goods survived somewhat hoarse voice clear thanks,Mixed,6
10,151492,product broke disappointed bangeetttt guns oerbaiki dlm packaging,Mixed,6
10,15879,product quality standards fitting open lots dented goods packaging pertebal let dent kept heads separated pirnya,Mixed,6
10,68557,nice duct tape cheap great pokolnya,Mixed,6
11,88780,excellent product quality,Product-Quality,1
11,106198,excellent product quality,Product-Quality,1
11,70323,product quality excellent,Product-Quality,1
11,183952,excellent product quality,Product-Quality,1
11,108311,excellent product quality,Product-Quality,1
11,112121,excellent product quality,Product-Quality,1
11,184901,excellent product quality,Product-Quality,1
11,192763,product quality excellent product quality excellent,Product-Quality,1
11,133602,excellent product quality,Product-Quality,1
11,75462,excellent product quality,Product-Quality,1
11,99941,excellent product quality,Product-Quality,1
11,116841,excellent product quality,Product-Quality,1
11,189070,excellent product quality,Product-Quality,1
11,144656,product quality excellent,Product-Quality,1
11,83841,excellent product quality,Product-Quality,1
12,47786,item shipped immediately,Shipping,3
12,194623,packaged item shipped immediately,Shipping,3
12,124200,item shipped immediately,Shipping,3
12,123304,item shipped immediately good,Shipping,3
12,138588,item shipped immediately,Shipping,3
12,133814,item shipped immediately,Shipping,3
12,96549,packaged item shipped immediately order,Shipping,3
12,162823,item shipped immediately,Shipping,3
12,135127,item shipped immediately,Shipping,3
12,187660,item shipped immediately order,Shipping,3
12,85007,packaged item shipped immediately order,Shipping,3
12,197099,item shipped immediately,Shipping,3
12,185955,accommodating seller packaged item shipped immediately,Shipping,3
12,121413,packaged item shipped immediately,Shipping,3
12,186925,item shipped immediately,Shipping,3
13,88740,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,126945,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,117254,awesome awesome product quality value value awesome awesome awesome speed ship values awesome values awesome speed ship,Mixed,6
13,194391,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,204944,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,204310,awesome awesome speed ship values awesome product quality,Mixed,6
13,108452,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,86214,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,178893,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,188094,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,120861,awesome awesome quality goods value awesome speed ship,Mixed,6
13,107382,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,185139,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,183562,awesome awesome speed ship merchandise quality awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
13,190830,awesome speed ship awesome awesome quality goods value awesome service,Mixed,6
14,163228,product packaging beautiful definitely shop serves,Packaging,5
14,207180,shop shop good service good service beautiful product packaging sure,Packaging,5
14,192614,product packaging beautiful certainly shop serves good worth money,Packaging,5
14,199754,time fast delivery excellent product quality product packaging beautiful certainly shop assigned color pack bared,Packaging,5
14,188245,product packaging beautiful certainly good service shop,Packaging,5
14,120382,product packaging beautiful certainly good service shop money good fast delivery time,Packaging,5
14,143998,time delivery product packaging undoubtedly beautiful great quality,Packaging,5
14,163700,product packaging beautiful certainly fast delivery time temporary quality,Packaging,5
14,108206,product packaging beautiful definitely shop serves good fast delivery time,Packaging,5
14,48515,check barcode information product packaging beautiful certainly,Packaging,5
14,82973,excellent product quality product packaging beautiful definitely shop serves good product packaging beautiful certainly fast delivery time,Packaging,5
14,185316,excellent product quality product packaging beautiful definitely shop serves good fast delivery time,Packaging,5
14,105851,product packaging beautiful certainly fast delivery times worth money,Packaging,5
14,87045,shop serves worth money package product nice certainly,Packaging,5
14,15638,product packaging beautiful definitely temporary product quality,Packaging,5
15,1596,care fun send goods,Shipping,3
15,171744,wrong tell send soon,Shipping,3
15,173079,send change ems postal thailand good kerry better,Shipping,3
15,150054,terrible broken pieces,Shipping,3
15,11777,send awful lot good end worse,Shipping,3
15,10723,send pattern new location,Shipping,3
15,10163,send slow masuda add people answer,Shipping,3
15,147847,check send goods,Shipping,3
15,112431,send sensitive product meets,Shipping,3
15,86925,good send quick,Shipping,3
15,174387,send stores sensitive response monitor chat answer customers,Shipping,3
15,56427,little blame send ninja sent unknown destination written clearly,Shipping,3
15,74647,great advice promotional notice little slow actually send sensitive hours,Shipping,3
15,109457,sewing great color send fast subsidies,Shipping,3
15,101552,send good chance,Shipping,3
16,78475,murmer accordance lah price,Price,4
16,39659,good product quality packaging passable cepet kebaya good like cuman skirt good lah price sesuai,Price,4
16,167482,goods nyampe passable price,Price,4
16,130937,excellent products according drawings reasonably priced mumer yes sista,Price,4
16,134453,create segini price good use cardboard packaging size yes paslah prices,Price,4
16,170226,okay corresponding price,Price,4
16,90569,puasssss price feet kualitassss okeeee,Price,4
16,24174,standard appropriate price stitches tidy,Price,4
16,21705,color good price murahdikirim cepat pokoe mantabppp,Price,4
16,24206,according picture price,Price,4
16,43380,luamayanlah match price,Price,4
16,53319,pretty lah goods accordance price thank,Price,4
16,105316,bagguusss ukurannya besar dapat promo price,Price,4
16,164318,bad accordance price yes,Price,4
16,110103,passable goods match price,Price,4
17,81930,accommodating seller packaged item shipped immediately order,Shipping,3
17,101204,excellent quality accommodating seller packaged item shipped immediately order,Shipping,3
17,100590,excellent quality accommodating seller packaged item shipped immediately order,Shipping,3
17,102009,good good good quality shipped immediately packaged,Shipping,3
17,182941,excellent quality accommodating seller item shipped immediately order,Shipping,3
17,90075,excellent quality accommodating seller packaged item shipped immediately order,Shipping,3
17,104968,excellent quality accommodating seller packaged item shipped immediately order,Shipping,3
17,129832,excellent quality accommodating seller packaged order item shipped immediately,Shipping,3
17,64134,excellent quality accommodating seller packaged item shipped immediately order,Shipping,3
17,116016,excellent quality accommodating seller item shipped immediately packed order,Shipping,3
17,127962,packaged item shipped immediately order accommodating seller,Shipping,3
17,177381,excellent quality accommodating seller packaged item shipped immediately order,Shipping,3
17,184201,excellent quality accommodating seller item shipped immediately order,Shipping,3
17,94657,excellent quality item shipped immediately order,Shipping,3
17,197184,excellent quality accommodating seller packaged item shipped immediately,Shipping,3
18,3324,hideous material skin perspiration cave look recommended buildup,Mixed,6
18,46998,received goods btw turns odor guns fancy yaa risk online fragrances hehe gatau smell gapapalah okay kok,Mixed,6
18,86437,best supplement face chewy glowing white kayak,Mixed,6
18,84022,bgttt mandatory malem use moist quickly absorbed need wait step lama skincare,Mixed,6
18,205674,packages order second meat tasty thx yes,Mixed,6
18,77395,sweet savory awful fitting syuka dehhhh sekaliii wants subscription plump tasty ngak ndut eat wrote granola,Mixed,6
18,134762,dipakenya easy natural,Mixed,6
18,25115,goods accordance price fitted prtama lngsung tried burning smell trbakar,Mixed,6
18,186272,baguss anakku alhmadulillah syukkaa use till dbuat sleep,Mixed,6
18,157565,packaging neat new sticky tried kok fragrance try gapapalah suitable siapatau,Mixed,6
18,156209,felt standards mlh lbh brands rose wkwkwj tasty hard msh macaroni javanese term kemlingkingen hard underdone prominent distinguished spicy flavor doang packaging shipping time,Mixed,6
18,143319,bangett wangii soft pink mouth fragrance item manissss,Mixed,6
18,161591,like cuman fragrance good dry awett,Mixed,6
18,150297,dapet happy try suspect authentic odor comparable wrapper different spot maskernya torn absence exceeds wipes silky time essence dripping use gatel,Mixed,6
18,107875,wearing nice tasty product aqeet makasihhhhhh ori,Mixed,6
19,202101,nice quality love texture,Product-Quality,1
19,166244,nice color size good product like thank best seller,Product-Quality,1
19,179416,nice product love,Product-Quality,1
19,69010,steady nice goods,Product-Quality,1
19,160620,nice kualitasx fast till,Product-Quality,1
19,205439,good product quality nice seller yeah nice,Product-Quality,1
19,89824,nice quality item price good buy thank,Product-Quality,1
19,49924,dikiraa small stuff nice small price,Product-Quality,1
19,112012,received products described nice cute,Product-Quality,1
19,64003,colour nice quality good,Product-Quality,1
19,34090,inshallah nice unused goods good,Product-Quality,1
19,187647,nice like seller,Product-Quality,1
19,120169,nice headband good quality,Product-Quality,1
19,141764,like good recomended cheap tapinkuslitas nice,Product-Quality,1
19,158925,nice soft good everyday affordable price,Product-Quality,1
20,81369,good value money,Price,4
20,31902,good value money,Price,4
20,122206,good value money,Price,4
20,153535,good value money,Price,4
20,203905,good value money,Price,4
20,68727,good value money,Price,4
20,128983,good value money,Price,4
20,30734,good value money,Price,4
20,141577,good value money,Price,4
20,128554,value money good value money good value money good value money good value money good,Price,4
20,59390,good value money,Price,4
20,70284,good value money,Price,4
20,75776,good value money,Price,4
20,89896,good value money good value money,Price,4
20,44810,good value money,Price,4
21,20931,hnd followed desgn curtains butterfly order order hinaloan heart desgn,Mixed,6
21,7352,order worthless cute item missing naman hanap love,Mixed,6
21,25086,able speed case super speed damage box items balotin nyo times thickness closely damage ung items,Mixed,6
21,205316,supercuteee oorder seller thankyou nadissapoint passed din yung saken supercute gandaa thankyou,Mixed,6
21,117736,nice ribbon problem ngkamali selection quality ribbon single sided lng sya lng qmbga satin matte sya nxtym order acu prang red dpat ribbon thumbs prin khit long dumating tnx,Mixed,6
21,9520,wrong color nagremind pero mali haha tama ung bad comments nla dto,Mixed,6
21,182855,fit child right lng ung allowance unfinished fabric nia okayy price thank,Mixed,6
21,94572,mura lng kysa mall store,Mixed,6
21,4006,disapointed order lng tama tas missing items nagmessage supplier refund nagrereply tinawagan sagutin lng supplier small amounts lng refund unearned yan fairness fast delivry cla tnx,Mixed,6
21,186753,yong tokong damage satisfied,Mixed,6
21,86929,receive dec ordered law delivered earlier quickly contained description according pero masaya kasi come said date beautiful packaging infair case mejo loose ung ring ung product beautiful happy nmn hindi sya like sidewalk,Mixed,6
21,204594,sale sana madalas ang promotions hehe item packed nadeliver time hoping freebies time suki shop,Mixed,6
21,3163,fake sya wlang kumain prang nsusuka hirap matulog sakit head,Mixed,6
21,154026,relatively large flower design lang,Mixed,6
21,25789,items shipped immediately case white order stark black nmn color dumating hindi complied ordered,Mixed,6
22,153964,cntik clothes bgus,Product-Spec,7
22,185501,supplier original good bgt good materials soft hot lucuuuu dressnyaa bgt plihan wrna expelled ash falling jga cantik lagii order siss skdr advice yaa klw bsa keluarin jmpsuitnyaa models dongg yaa thx bgt yaaa,Product-Spec,7
22,179161,pesann appropriate color brang okay smua,Product-Spec,7
22,63365,cmn bgus sdh mintax tpi kirimnya trus mntax htam wrnhx slah tpi krimx brown,Product-Spec,7
22,14644,brang mrip kyak fto,Product-Spec,7
22,138660,happy deh bajuny keeping image jahitanny rips sdkit gpp djhit pnting bajuny bgus,Product-Spec,7
22,165825,brang okay match smua plangan love shirt sma mksih,Product-Spec,7
22,51778,warna nya twin semuaa,Product-Spec,7
22,172313,sis small reply bawah msuk guess gde pinggulnya saya taunya hrus flatten klo gini,Product-Spec,7
22,6670,jlek corresponding image kcwa disappointed bnr bnr lagi deh bli ditoko,Product-Spec,7
22,106249,sepreinya okay mksh,Product-Spec,7
22,89559,like like wrna bleak fit young abu mmg brush bli problems according hrg lah,Product-Spec,7
22,17761,bgs luamayan syg stains bersihin,Product-Spec,7
22,29237,baguus cmn distinguished white wrna lemny powerful guns jdi klihatn gtuhhhh,Product-Spec,7
22,192470,untuk kesekian kalinya,Product-Spec,7
23,3771,product quality good,Product-Quality,1
23,165573,good product quality,Product-Quality,1
23,180812,good product quality,Product-Quality,1
23,42567,good product quality,Product-Quality,1
23,72785,good product quality,Product-Quality,1
23,89744,good product quality,Product-Quality,1
23,124810,good product quality,Product-Quality,1
23,155261,good product quality,Product-Quality,1
23,45877,good product quality,Product-Quality,1
23,134928,good product quality,Product-Quality,1
23,173487,product quality good,Product-Quality,1
23,88562,good product quality,Product-Quality,1
23,10803,product quality good,Product-Quality,1
23,38951,good product quality,Product-Quality,1
23,146839,product quality good,Product-Quality,1
24,177172,product quality excellent original product response good seller problem gojeknya want home maybe brother tired,Product-Quality,1
24,46947,product quality good price good product delivery speed good response good seller message lightning usb micro usb mouth dtang,Product-Quality,1
24,153603,good product quality prices products baik tpi sent size asked far small size,Product-Quality,1
24,33867,good quality standard pngirimn big cma bangt lah good ttp,Product-Quality,1
24,178104,excellent product quality excellent product price response good seller neat packaging delivery affection bit old gapapa,Product-Quality,1
24,52193,good product quality original product delivery speed good good seller response advice aja banality buyer wear size thnk min ntar buy rezeki,Product-Quality,1
24,60384,good product quality original product product price good baik meski seller response little problem delivery dlm overload tpi receiving goods sufficiently paid accordance beautiful reflection bag mksiiih,Product-Quality,1
24,132410,okay good product quality price okay fast delivery flame dua led neck bit small okee recomended,Product-Quality,1
24,40208,good product quality original product product price good delivery speed good good seller response ksh bntg suitable hasilny tambhin smoga sleek fit heheh,Product-Quality,1
24,167917,thankyuu goods uda nyampe stelah tried length aprox makenya agk mlorot product quality excellent response good seller delivery speed good,Product-Quality,1
24,169555,nice fit dibadan cuman yarn leftovers njrawut bhsa indonya product quality good price good product delivery speed good seller response,Product-Quality,1
24,128450,product quality good price good product delivery speed good good good delivery speed cuman seams dirapihin yes kak,Product-Quality,1
24,174980,product price good delivery speed good fit distinguished pictures unfortunately dpet box,Product-Quality,1
24,170138,product quality good little small fitting lah wrote hrga fast delivery,Product-Quality,1
24,167693,product price good delivery speed good unfortunately happens symmetrical rapet,Product-Quality,1
25,194804,package arrived thank,Packaging,5
25,146692,thx sis package uda received house blum check,Packaging,5
25,126106,makasiiihhhh package datanggg baguuusssss,Packaging,5
25,119729,alhamdulillah nyampe package dengam survived intact goods mace blisters rupture trimakasih seller,Packaging,5
25,125753,alhamdulillah received package check appropriate item,Packaging,5
25,136021,packages alhamdulillah thanks,Packaging,5
25,69618,maa syaa god tasty package order tastes thank seller,Packaging,5
25,143578,package received new open trimakasih goods accordance order,Packaging,5
25,3267,package truncated like,Packaging,5
25,108970,thanks package custom,Packaging,5
25,37810,blom opened package,Packaging,5
25,111453,package comes farewell test,Packaging,5
25,202256,mksh sdh package,Packaging,5
25,187654,praise come good package disappoint,Packaging,5
25,134225,packages gan thank,Packaging,5
26,188025,udh goods smpe bagus disabled yan usab market cape store complete nyari,Mixed,6
26,121213,cepet pipetnya ngak nganternya ori ngak ngak use mantul rekomended pipetnya create order,Mixed,6
26,29520,hopefully manjurr yaa scary panda eyes bangeet,Mixed,6
26,116581,good bagettt nyeselll directly pesen mantapppp,Mixed,6
26,61314,meleot huhuuu gapapa dehh thanks yaaa,Mixed,6
26,53225,lucuuuu bangeeet bajuunyaaa pengeen pakee jugaa material jugaaaa lumayaaan dengaaan okeeeeee segituuu price free shipping god damned long,Mixed,6
26,169737,orders ajaa mouth bgttt rough sis hopefully cust want sis,Mixed,6
26,112976,good stuff oversize fit pictures bgt gakpapa ntr kecilin huhu trmksh sdh free masks,Mixed,6
26,183839,distinguished cute bgt sister smpe sneng dateng bgt case thanks,Mixed,6
26,82638,haluss nyaa fur goods arrived safely baguss dengann mbaa later ordered lagiiii kaaalllaauuu suuuddaaahh,Mixed,6
26,114465,finally awaited match diaku dateng semoga let langganan,Mixed,6
26,190908,good arrival cepet kirain hrga murmer jelekk quality expectations lahh pkoknya recomended yaa beliin helmets favorite person hesitate buy dsinii yupp helmet motif bagus yaa cocokk sure anak sukaa,Mixed,6
26,176635,lucuuuu pouchnya good,Mixed,6
26,135725,lucuuuu bangeettt severe cute disappointed samsek thanks yaa,Mixed,6
26,180900,pas open like cute bgt patient pakein babynya msh,Mixed,6
27,15753,product quality standards,Product-Quality,1
27,22941,product quality standards,Product-Quality,1
27,21776,standard product quality quality standard products,Product-Quality,1
27,19750,product quality standards,Product-Quality,1
27,17780,product quality standards,Product-Quality,1
27,19309,product quality standards,Product-Quality,1
27,154614,product quality standards,Product-Quality,1
27,17586,product quality standards,Product-Quality,1
27,21933,product quality standards,Product-Quality,1
27,27046,quality standard packaging,Product-Quality,1
27,154583,product quality standards,Product-Quality,1
27,154303,product quality standards,Product-Quality,1
27,156916,product quality standards,Product-Quality,1
27,27431,product quality standards,Product-Quality,1
27,19828,product quality standards,Product-Quality,1
28,64669,beautiful sewing machine new bikes cloth try broken latch maybe good,Product-Spec,7
28,170548,bought old crab added existing orders different stores smaller size advised shop overall package good fast delivery problems fully according statement like colors cute,Product-Spec,7
28,153267,critique rating eta expected affordable quality expected seen advertisement good item overall item perfectly photos logos fine print minus points seller responsive tried send rating response milo critique,Product-Spec,7
28,166721,pretty good coming contact cut wood chop plate,Product-Spec,7
28,131972,like cube stable right speed good corner cutting good overall cubes came pretty late mind setup thank moana shop cube,Product-Spec,7
28,173163,customers use cool okay use test time tell hook saddle,Product-Spec,7
28,188488,package order feels good dry greasy thanks,Product-Spec,7
28,152826,know cheap require important issue fan fan okay maybe bad durable little fan wings fall fall texting shop response,Product-Spec,7
28,141790,received time easy apply bubbles floor ceiling window price worth try,Product-Spec,7
28,191557,try okay late summer,Product-Spec,7
28,194352,buy second loose dealer cuts speak good service plus fine line good good,Product-Spec,7
28,195497,fast delivery broken box line read printed text xog unknown stones read glue small piece bind picture,Product-Spec,7
28,157333,orders attracted good fast cheap goods easy introduction cameras recording,Product-Spec,7
